7호선,용마산
경의중앙선,용문
1호선,용산
경의중앙선,용산
자기부상선,용유
5호선,우장산
경의중앙선,운길산
공항철도,운서
경의중앙선,운정
자기부상선,워터파크
3호선,원당
경의중앙선,원덕
분당선,원인재
3호선,원흥
1호선,월계
6호선,월곡(동덕여대)
분당선,월곶
6호선,월드컵경기장(성산)
경의중앙선,월롱
2호선,을지로3가
3호선,을지로3가
2호선,을지로4가
5호선,을지로4가
2호선,을지로입구
경의중앙선,응봉
6호선,응암순환(상선)
1호선,의왕
1호선,의정부
2호선,이대
분당선,이매
4호선,이촌
경의중앙선,이촌
6호선,이태원
4호선,인덕원
1호선,인천
분당선,인천
공항철도,인천공항1터미널
자기부상선,인천공항1터미널
공항철도,인천공항2터미널
분당선,인천논현
분당선,인하대
경의중앙선,일산
3호선,일원
2호선,잠실
8호선,잠실
2호선,잠실나루
2호선,잠실새내
3호선,잠원
자기부상선,장기주차장
7호선,장승배기
7호선,장암
8호선,장지
5호선,장한평
우이신설선,정릉
3호선,정발산
4호선,정부과천청사
4호선,정왕
분당선,정왕
분당선,정자
신분당선,정자
1호선,제기동
1호선,제물포
1호선,종각
1호선,종로3가
3호선,종로3가
5호선,종로3가
1호선,종로5가
2호선,종합운동장
9호선,종합운동장
1호선,주안
3호선,주엽
분당선,죽전
7호선,중계
7호선,중곡
1호선,중동
경의중앙선,중랑
경춘선,중랑
4호선,중앙
분당선,중앙
9호선,중앙보훈병원
7호선,중화
9호선,증미
6호선,증산(명지대앞)
1호선,지제
3호선,지축
경의중앙선,지평
1호선,지행
1호선,직산
1호선,진위
1호선,창동
4호선,창동
6호선,창신
경춘선,천마산
1호선,천안
7호선,천왕
5호선,천호(풍납토성)
8호선,천호(풍납토성)
7호선,철산
신분당선,청계산입구
5호선,청구
6호선,청구
7호선,청담
공항철도,청라국제도시
1호선,청량리
경의중앙선,청량리
경춘선,청량리
분당선,청량리
분당선,청명
경춘선,청평
4호선,초지
분당선,초지
4호선,총신대입구(이수)
7호선,총신대입구(이수)
7호선,춘의역
경춘선,춘천
3호선,충무로
4호선,충무로
2호선,충정로
5호선,충정로
경의중앙선,탄현
1호선,탕정
6호선,태릉입구
7호선,태릉입구
분당선,태평
경춘선,퇴계원
자기부상선,파라다이스 시티
경의중앙선,파주
신분당선,판교
경의중앙선,팔당
경춘선,평내호평
4호선,평촌
1호선,평택
경의중앙선,풍산
7호선,하계
5호선,하남검단산
5호선,하남시청
5호선,하남풍산
7호선,학동
3호선,학여울
6호선,한강진
경의중앙선,한남
4호선,한대앞
분당선,한대앞
4호선,한성대입구
9호선,한성백제
2호선,한양대
분당선,한티
자기부상선,합동청사
2호선,합정
6호선,합정
5호선,행당
경의중앙선,행신
4호선,혜화
분당선,호구포
2호선,홍대입구
경의중앙선,홍대입구
공항철도,홍대입구
3호선,홍제
우이신설선,화계
5호선,화곡
6호선,화랑대(서울여대입구)
1호선,화서
경의중앙선,화전
3호선,화정
1호선,회기
경의중앙선,회기
경춘선,회기
1호선,회룡
4호선,회현
6호선,효창공원앞
경의중앙선,효창공원앞
9호선,흑석
